sudoku,38,8,553,468,image1.jpg,640,480
sudoku,24,9,556,471,image2.jpg,640,480
sudoku,38,26,528,447,image9.jpg,640,480
sudoku,80,49,492,424,image10.jpg,640,480
sudoku,44,21,547,459,image13.jpg,640,480
sudoku,59,20,521,434,image16.jpg,640,480
sudoku,117,2,439,451,image17.jpg,640,480
sudoku,8,0,406,408,image19.jpg,640,480
sudoku,131,0,457,468,image23.jpg,640,480
sudoku,15,39,507,425,image24.jpg,640,480
sudoku,137,2,454,478,image25.jpg,640,480
sudoku,92,47,497,419,image27.jpg,640,480
sudoku,119,26,466,454,image28.jpg,640,480
sudoku,92,38,498,429,image29.jpg,640,480
sudoku,109,36,497,411,image31.jpg,640,480
sudoku,99,29,507,412,image32.jpg,640,480
sudoku,126,53,484,401,image33.jpg,640,480
sudoku,86,1,541,441,image34.jpg,640,480
sudoku,95,25,525,445,image35.jpg,640,480
sudoku,107,1,524,428,image36.jpg,640,480
sudoku,110,14,516,433,image37.jpg,640,480
sudoku,99,13,529,432,image39.jpg,640,480
sudoku,78,19,531,427,image40.jpg,640,480
sudoku,89,12,525,444,image41.jpg,640,480
sudoku,109,20,509,412,image45.jpg,640,480
sudoku,109,12,429,435,image47.jpg,640,480
sudoku,131,17,445,463,image51.jpg,640,480
sudoku,21,36,499,425,image58.jpg,640,480
sudoku,25,38,491,413,image61.jpg,640,480
sudoku,24,20,497,417,image65.jpg,640,480
sudoku,125,1,486,476,image69.jpg,640,480
sudoku,14,0,500,480,image70.jpg,640,480
sudoku,38,4,479,474,image71.jpg,640,480
sudoku,29,5,563,474,image73.jpg,640,480
sudoku,92,9,469,467,image74.jpg,640,480
sudoku,90,1,461,452,image76.jpg,640,480
sudoku,65,19,539,456,image77.jpg,640,480
sudoku,8,0,517,446,image79.jpg,640,480
sudoku,19,7,511,434,image80.jpg,640,480
sudoku,18,0,514,436,image81.jpg,640,480
sudoku,37,44,481,405,image82.jpg,640,480
sudoku,83,0,458,462,image84.jpg,640,480
sudoku,19,16,515,442,image85.jpg,640,480
sudoku,5,2,449,453,image87.jpg,640,480
sudoku,74,1,466,465,image90.jpg,640,480
sudoku,10,22,443,439,image93.jpg,640,480
sudoku,16,26,438,443,image94.jpg,640,480
sudoku,14,29,436,444,image96.jpg,640,480
sudoku,20,18,439,444,image97.jpg,640,480
sudoku,33,17,430,439,image98.jpg,640,480
sudoku,45,4,418,443,image99.jpg,640,480
sudoku,24,3,418,433,image100.jpg,640,480
sudoku,31,5,421,432,image102.jpg,640,480
sudoku,30,82,443,377,image103.jpg,640,480
sudoku,21,77,443,375,image104.jpg,640,480
sudoku,27,89,434,370,image106.jpg,640,480
sudoku,30,90,437,365,image107.jpg,640,480
sudoku,93,23,512,424,image109.jpg,640,480
sudoku,42,13,524,439,image111.jpg,640,480
sudoku,52,10,532,446,image112.jpg,640,480
sudoku,15,56,488,410,image113.jpg,640,480
sudoku,23,49,476,410,image114.jpg,640,480
sudoku,25,74,461,393,image117.jpg,640,480
sudoku,31,79,449,384,image118.jpg,640,480
sudoku,9,2,475,399,image119.jpg,640,480
sudoku,19,10,471,401,image120.jpg,640,480
sudoku,9,9,473,395,image122.jpg,640,480
sudoku,7,4,420,422,image125.jpg,640,480
sudoku,13,2,415,422,image126.jpg,640,480
sudoku,9,2,413,413,image127.jpg,640,480
sudoku,8,5,409,405,image129.jpg,640,480
sudoku,9,13,512,440,image139.jpg,640,480
sudoku,12,8,514,440,image140.jpg,640,480
sudoku,82,4,461,460,image147.jpg,640,480
sudoku,81,12,459,463,image148.jpg,640,480
sudoku,102,6,449,449,image151.jpg,640,480
sudoku,109,8,444,450,image153.jpg,640,480
sudoku,79,6,467,468,image155.jpg,640,480
